Date,Open,High,Low,Close,Adj Close,Volume
2015-07-02,132.720001,132.929993,132.429993,132.750000,116.483810,276800
2015-07-06,132.250000,133.100006,132.130005,132.729996,116.466255,132000
2015-07-07,132.259995,132.539993,130.750000,132.380005,116.159142,288600
2015-07-08,130.110001,130.139999,127.940002,128.110001,112.412361,717300
2015-07-09,130.160004,130.529999,128.929993,129.029999,113.219627,186900
2015-07-10,130.559998,131.869995,129.919998,131.520004,115.404533,401900
2015-07-13,133.020004,133.619995,133.020004,133.440002,117.089264,214900
2015-07-14,133.130005,133.699997,132.929993,133.449997,117.098022,195300
2015-07-15,134.070007,134.619995,133.789993,133.990005,117.571869,294100
2015-07-16,136.240005,136.389999,135.660004,135.770004,119.133766,441200
2015-07-17,134.699997,135.490005,134.699997,135.360001,118.773994,186100
2015-07-20,135.789993,136.110001,135.410004,135.539993,118.931938,352500
2015-07-21,134.910004,135.029999,134.149994,134.559998,118.072029,200500
2015-07-22,133.800003,134.429993,133.800003,133.990005,117.571869,196400
2015-07-23,133.690002,133.919998,133.080002,133.250000,116.922539,196100
2015-07-24,133.619995,133.889999,132.320007,132.550003,116.308319,130200
2015-07-27,131.500000,131.869995,131.210007,131.789993,115.641434,187700
2015-07-28,131.080002,131.919998,130.369995,131.839996,115.685310,383500
2015-07-29,131.710007,132.839996,131.600006,132.570007,116.325851,212500
2015-07-30,132.000000,132.429993,131.250000,132.270004,116.062622,270100
2015-07-31,133.509995,133.710007,133.050003,133.460007,117.106819,226200
2015-08-03,132.440002,133.389999,132.000000,133.179993,116.861122,315100
2015-08-04,131.369995,131.389999,128.380005,129.850006,113.939148,515200
2015-08-05,128.660004,128.979996,128.169998,128.309998,112.587845,476500
2015-08-06,128.960007,129.449997,128.649994,128.809998,113.026588,278800
2015-08-07,129.860001,130.000000,129.520004,129.949997,114.026886,163900
2015-08-10,130.500000,131.429993,130.070007,131.089996,115.027206,300900
2015-08-11,129.649994,129.649994,128.690002,129.009995,113.202072,236100
2015-08-12,127.290001,127.690002,126.029999,127.419998,111.806915,768000
2015-08-13,127.150002,128.149994,126.860001,127.790001,112.131569,188700
2015-08-14,127.790001,128.240005,127.580002,128.190002,112.482552,130600
2015-08-17,127.500000,127.989998,127.099998,127.870003,112.201767,155700
2015-08-18,127.610001,128.070007,127.440002,127.870003,112.201767,185400
2015-08-19,126.389999,127.010002,125.669998,126.040001,110.595993,286500
2015-08-20,124.540001,124.540001,122.449997,122.500000,107.489754,536700
2015-08-21,122.099998,122.459999,118.910004,119.050003,104.462502,504600
2015-08-24,110.230003,116.050003,109.070000,113.519997,99.610100,1009000
2015-08-25,117.709999,117.709999,113.370003,113.370003,99.478493,576800
2015-08-26,116.800003,117.949997,115.059998,117.839996,103.400780,395600
2015-08-27,118.669998,119.879997,118.320000,119.570000,104.918785,399600
2015-08-28,121.019997,121.610001,120.330002,120.769997,105.971741,285800
2015-08-31,119.129997,119.260002,118.190002,118.379997,103.874588,243000
2015-09-01,115.580002,115.930000,114.080002,114.339996,100.329628,426000
2015-09-02,117.250000,117.690002,116.209999,117.620003,103.207726,266100
2015-09-03,120.190002,120.440002,119.339996,119.610001,104.953873,352100
2015-09-04,116.680000,116.900002,115.839996,116.500000,102.224960,262200
2015-09-08,120.199997,121.339996,120.129997,121.239998,106.384155,398400
2015-09-09,123.260002,123.410004,120.440002,120.620003,105.840134,1331300
2015-09-10,118.959999,118.959999,117.400002,117.940002,103.488525,2073300
2015-09-11,116.489998,117.099998,115.889999,117.099998,102.751442,531200
2015-09-14,116.730003,117.059998,116.000000,116.349998,102.093346,351200
2015-09-15,119.059998,120.129997,118.690002,119.959999,105.260994,442200
2015-09-16,121.809998,122.330002,121.540001,122.000000,107.051033,439600
2015-09-17,121.029999,122.820000,120.870003,121.239998,106.384155,243300
2015-09-18,119.370003,120.110001,118.709999,118.820000,104.260696,250300
2015-09-21,119.589996,120.019997,118.690002,119.430000,104.795944,173800
2015-09-22,117.680000,117.879997,116.010002,117.580002,103.172630,372700
2015-09-23,117.309998,117.739998,116.610001,117.510002,103.111198,231300
2015-09-24,117.519997,117.739998,116.000000,117.550003,103.146317,535800
2015-09-25,119.279999,119.989998,118.160004,118.510002,103.988670,292400
2015-09-28,117.559998,117.570000,114.730003,115.220001,102.510010,311700
2015-09-29,113.980003,114.480003,113.160004,114.250000,101.647003,345800
2015-09-30,116.239998,117.400002,116.099998,117.279999,104.342766,235100
2015-10-01,118.489998,118.870003,117.230003,118.339996,105.285835,278000
2015-10-02,119.309998,120.820000,118.580002,120.730003,107.412201,557000
2015-10-05,121.790001,122.910004,121.760002,122.320000,108.826805,338300
2015-10-06,120.919998,121.260002,120.370003,120.919998,107.581238,350100
2015-10-07,122.540001,123.190002,122.190002,122.709999,109.173775,240700
2015-10-08,122.779999,123.709999,122.110001,123.480003,109.858841,254200
2015-10-09,123.980003,124.589996,122.330002,122.599998,109.075912,398800
2015-10-12,122.750000,123.440002,122.589996,123.110001,109.529655,314500
2015-10-13,121.489998,121.949997,120.860001,121.070000,107.714699,341400
2015-10-14,121.000000,121.309998,119.900002,120.050003,106.807213,187400
2015-10-15,121.739998,122.550003,121.250000,122.440002,108.933571,263300
2015-10-16,123.639999,124.150002,123.220001,123.959999,110.285889,265200
2015-10-19,123.349998,123.570000,122.820000,123.550003,109.921127,164700
2015-10-20,122.680000,122.900002,122.160004,122.209999,108.728928,244100
2015-10-21,124.040001,124.849998,123.599998,123.699997,110.054573,162900
2015-10-22,124.730003,125.580002,124.449997,125.230003,111.415810,271200
2015-10-23,125.400002,125.959999,125.000000,125.739998,111.869537,215200
2015-10-26,125.660004,125.839996,125.000000,125.330002,111.504768,218500
2015-10-27,124.889999,125.199997,124.519997,124.830002,111.059937,206000
2015-10-28,125.330002,126.449997,124.930000,126.360001,112.421150,193100
2015-10-29,123.330002,123.410004,122.459999,123.239998,109.645317,264700
2015-10-30,123.220001,123.559998,122.589996,122.620003,109.093712,196600
2015-11-02,123.180000,123.510002,122.860001,123.300003,109.698700,573400
2015-11-03,123.349998,123.519997,122.860001,123.389999,109.778778,569600
2015-11-04,123.480003,123.889999,123.070000,123.559998,109.930016,298000
2015-11-05,124.650002,125.190002,124.599998,124.860001,111.086617,319600
2015-11-06,123.169998,123.190002,122.290001,122.919998,109.360611,277500
2015-11-09,122.919998,122.989998,121.709999,122.220001,108.737831,189000
2015-11-10,123.199997,123.730003,123.080002,123.589996,109.956703,202700
2015-11-11,124.040001,124.040001,123.230003,123.230003,109.636414,146800
2015-11-12,122.889999,122.889999,121.510002,121.730003,108.301888,282000
2015-11-13,122.139999,122.489998,121.199997,121.269997,107.892632,289500
2015-11-16,121.000000,122.089996,120.989998,122.040001,108.577682,183900
2015-11-17,122.790001,123.680000,122.550003,123.150002,109.565254,225000
2015-11-18,123.610001,124.949997,123.379997,124.910004,111.131096,217500
2015-11-19,123.860001,124.470001,123.760002,123.889999,110.223602,213000
2015-11-20,124.029999,124.139999,123.349998,123.669998,110.027885,158700
2015-11-23,123.599998,123.889999,122.660004,123.120003,109.538567,175700
2015-11-24,123.809998,124.190002,123.239998,124.019997,110.339272,242600
2015-11-25,124.019997,124.019997,123.610001,123.860001,110.196922,110500
2015-11-27,124.480003,124.739998,124.260002,124.370003,110.650673,63900
2015-11-30,124.800003,124.839996,124.199997,124.419998,110.695152,189700
2015-12-01,125.750000,126.379997,125.550003,125.919998,112.029671,201100
